"author_name","category","per_curiam","case_name","date_filed","federal_cite_one","absolute_url","cluster","year_filed","scdb_id","scdb_decision_direction","scdb_votes_majority","scdb_votes_minority"
"justice stevens","majority",FALSE,"Cooper v. Federal Reserve Bank of Richmond",1984-06-25,"467 U.S. 867","https://www.courtlistener.com/opinion/111222/cooper-v-federal-reserve-bank-of-richmond/","https://www.courtlistener.com/api/rest/v3/clusters/111222/",1984,"1983-135",2,8,0
"justice white","majority",FALSE,"Renegotiation Bd. v. Grumman Aircraft Engineering Corp.",1975-04-28,"421 U.S. 168","https://www.courtlistener.com/opinion/109242/renegotiation-bd-v-grumman-aircraft-engineering-corp/","https://www.courtlistener.com/api/rest/v3/clusters/109242/",1975,"1974-087",1,7,1
"justice rehnquist","majority",FALSE,"Valley Forge Christian College v. Americans United for Separation of Church and State, Inc.",1982-01-12,"454 U.S. 464","https://www.courtlistener.com/opinion/110599/valley-forge-christian-college-v-americans-united-for-separation-of-church/","https://www.courtlistener.com/api/rest/v3/clusters/110599/",1982,"1981-026",1,5,4
"justice brennan","dissenting",FALSE,"Valley Forge Christian College v. Americans United for Separation of Church and State, Inc.",1982-01-12,"454 U.S. 464","https://www.courtlistener.com/opinion/110599/valley-forge-christian-college-v-americans-united-for-separation-of-church/","https://www.courtlistener.com/api/rest/v3/clusters/110599/",1982,"1981-026",1,5,4
"justice stevens","second_dissenting",FALSE,"Valley Forge Christian College v. Americans United for Separation of Church and State, Inc.",1982-01-12,"454 U.S. 464","https://www.courtlistener.com/opinion/110599/valley-forge-christian-college-v-americans-united-for-separation-of-church/","https://www.courtlistener.com/api/rest/v3/clusters/110599/",1982,"1981-026",1,5,4
"justice stevens","majority",FALSE,"Calcano-Martinez v. INS",2001-06-25,"533 U.S. 348","https://www.courtlistener.com/opinion/118453/calcano-martinez-v-ins/","https://www.courtlistener.com/api/rest/v3/clusters/118453/",2001,"2000-079",2,5,4
"justice o'connor","dissenting",FALSE,"Calcano-Martinez v. INS",2001-06-25,"533 U.S. 348","https://www.courtlistener.com/opinion/118453/calcano-martinez-v-ins/","https://www.courtlistener.com/api/rest/v3/clusters/118453/",2001,"2000-079",2,5,4
"justice scalia","second_dissenting",FALSE,"Calcano-Martinez v. INS",2001-06-25,"533 U.S. 348","https://www.courtlistener.com/opinion/118453/calcano-martinez-v-ins/","https://www.courtlistener.com/api/rest/v3/clusters/118453/",2001,"2000-079",2,5,4
"justice brennan","majority",FALSE,"Hughes v. Oklahoma",1979-04-24,"441 U.S. 322","https://www.courtlistener.com/opinion/110063/hughes-v-oklahoma/","https://www.courtlistener.com/api/rest/v3/clusters/110063/",1979,"1978-080",2,7,2
"justice rehnquist","dissenting",FALSE,"Hughes v. Oklahoma",1979-04-24,"441 U.S. 322","https://www.courtlistener.com/opinion/110063/hughes-v-oklahoma/","https://www.courtlistener.com/api/rest/v3/clusters/110063/",1979,"1978-080",2,7,2
"justice rehnquist","majority",FALSE,"United States v. Maze",1974-01-08,"414 U.S. 395","https://www.courtlistener.com/opinion/108900/united-states-v-maze/","https://www.courtlistener.com/api/rest/v3/clusters/108900/",1974,"1973-031",2,5,4
"justice burger","dissenting",FALSE,"United States v. Maze",1974-01-08,"414 U.S. 395","https://www.courtlistener.com/opinion/108900/united-states-v-maze/","https://www.courtlistener.com/api/rest/v3/clusters/108900/",1974,"1973-031",2,5,4
"justice white","second_dissenting",FALSE,"United States v. Maze",1974-01-08,"414 U.S. 395","https://www.courtlistener.com/opinion/108900/united-states-v-maze/","https://www.courtlistener.com/api/rest/v3/clusters/108900/",1974,"1973-031",2,5,4
"justice breyer","majority",FALSE,"Ministry of Defense and Support for Armed Forces of Islamic Republic of Iran v. Elahi",2009-04-21,"556 U.S. 366","https://www.courtlistener.com/opinion/145886/ministry-of-defense-and-support-for-armed-forces-of-islamic-republic-of/","https://www.courtlistener.com/api/rest/v3/clusters/145886/",2009,"2008-045",2,6,3
"justice scalia","majority",FALSE,"Maryland v. Shatzer",2010-02-24,"559 U.S. 98","https://www.courtlistener.com/opinion/1734/maryland-v-shatzer/","https://www.courtlistener.com/api/rest/v3/clusters/1734/",2010,"2009-022",1,9,0
"justice stevens","concurring",FALSE,"Maryland v. Shatzer",2010-02-24,"559 U.S. 98","https://www.courtlistener.com/opinion/1734/maryland-v-shatzer/","https://www.courtlistener.com/api/rest/v3/clusters/1734/",2010,"2009-022",1,9,0
